Name,Behavior,Health,Max Damage
blaze,hostile,20,6
chicken,peaceful,4,0
dolphin,conditional,10,3
guardian_elder,hostile,80,8
phantom,hostile,20,2
silverfish,hostile,8,1
witch,hostile,26,6
axolotl,peaceful,14,2
sheep,peaceful,8,0
bee,conditional,10,2
shulker,hostile,30,4
cat,peaceful,10,3
cow,peaceful,10,0
mooshroom,peaceful,10,0
creeper,hostile,20,43
dragon,hostile,200,10
enderman,conditional,40,7
skeleton,hostile,20,4
hoglin,hostile,40,8
ghast,hostile,10,17
horse,peaceful,15,0
pillager,hostile,24,4
ravager,hostile,100,12
wither_skeleton,hostile,20,8
magmacube,hostile,16,6
iron_golem,conditional,100,22
llama,conditional,15,1
panda,conditional,20,6
parrot,peaceful,6,0
pig,peaceful,10,0
piglin,conditional,16,8
rabbit,peaceful,3,8
slime,hostile,16,4
spider,hostile,16,2
squid,peaceful,10,0
warden,hostile,500,30
wither,hostile,300,68
wolf,conditional,8,4
zombie,hostile,20,3
villager,peaceful,20,0
